Species ,FE,form,feeding,growth,calcification,mobility,agerepromaturity,chem
Hymedesmia.versicolor,ab1a121,a,b,1,a,1,2,1
Ircinia.variabilis,cb1a122,c,b,1,a,1,2,2
Ircinia.dendroides,cb1a121,c,b,1,a,1,2,1
Ircinia.fasciculata,cb2a121,c,b,2,a,1,2,1
Ircinia.oros,cb1a122,c,b,1,a,1,2,2
Ircinia.sp,cb1a121,c,b,1,a,1,2,1
Merlia.deficiens,ab1b121,a,b,1,b,1,2,1
Merlia.lipoclavidisca,ab1b121,a,b,1,b,1,2,1
Merlia.normani,ab1b121,a,b,1,b,1,2,1
Microciona.cf.vermella,ab1a111,a,b,1,a,1,1,1
Myxilla.rosacea,ab2a111,a,b,2,a,1,1,1
Petrosia.ficiformis,cb1a122,c,b,1,a,1,2,2
Phorbas.tenacior,ab2a121,a,b,2,a,1,2,1
Pleraplysilla.spinifera,ab2a122,a,b,2,a,1,2,2
Raspaciona.aculeata,ab1a122,a,b,1,a,1,2,2
Sarcotragus.muscarum,cb2a121,c,b,2,a,1,2,1
Sarcotragus.spinosulus,cb2a122,c,b,2,a,1,2,2
Spirastrella.cunctatrix,ab1a122,a,b,1,a,1,2,2
Spirastrella.magica,ab1a121,a,b,1,a,1,2,1
Spongia.virgultosa,ab1a111,a,b,1,a,1,1,1
Sycon.elegans,cb1b111,c,b,1,b,1,1,1
Sycon.raphanus,cb1b111,c,b,1,b,1,1,1
Terpios.fugax,ab1a111,a,b,1,a,1,1,1
Tethya.aurantium,cb2a122,c,b,2,a,1,2,2
Clavellina.dellavallei,cb2a111,c,b,2,a,1,1,1
Cystodites.dellechiajei,c b2b112,c ,b,2,b,1,1,2
Didemnidae.gros.blanc,ab2a112,a,b,2,a,1,1,2
Didemnum.cf.commune,ab2a112,a,b,2,a,1,1,2
Didemnum.sp,ab2b112,a,b,2,b,1,1,2
Diplosoma.spongiforme,ab2a111,a,b,2,a,1,1,1
Halocynthia.papillosa,cb2a122,c,b,2,a,1,2,2
Lissoclinum.perforatum,ab2b112,a,b,2,b,1,1,2
Eudistoma.banyulense,ab2b112,a,b,2,b,1,1,2
Polysyncraton.lacazei,cb2b111,c,b,2,b,1,1,1
Polysyncraton.lacazei.elegans,cb2b111,c,b,2,b,1,1,1
Pycnoclavella.blanca,cb1a112,c,b,1,a,1,1,2
Pyura.dura,cb1b112,c,b,1,b,1,1,2
Turf,ba3a111,b,a,3,a,1,1,1
